Market,Regime,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
UK,HMM,Overall,XGBoost,13.3,14.2,-10.12,11330.49,81.4,0.0,1.0,
UK,,Uptrend,XGBoost,9.23,9.98,-9.92,10922.78,,,,
UK,,Downtrend,XGBoost,3.84,3.84,-5.99,10383.65,,,,
Thai,SMA200,Overall,LSTM,-5.39,2.3,-19.08,9460.63,68.5,31.0,5.0,
Thai,,Uptrend,LSTM,-14.34,-8.2,-15.95,8566.45,,,,
Thai,,Downtrend,LSTM,11.44,11.44,-16.48,11143.74,,,,
Thai,SMA200,Overall,CNN,4.56,2.3,-19.08,10456.31,99.5,0.0,1.0,
Thai,,Uptrend,CNN,-6.07,-8.2,-12.36,9392.51,,,,
Thai,,Downtrend,CNN,11.44,11.44,-16.48,11143.74,,,,
Thai,SMA200,Overall,MLP,-3.18,2.3,-22.26,9681.93,94.6,4.9,7.0,
Thai,,Uptrend,MLP,-6.07,-8.2,-12.36,9392.51,,,,
Thai,,Downtrend,MLP,4.43,11.44,-16.48,10443.15,,,,
Thai,SMA200,Overall,Transformer,15.81,2.3,-14.03,11580.51,75.5,23.9,6.0,
Thai,,Uptrend,Transformer,0.19,-8.2,-8.77,10019.0,,,,
Thai,,Downtrend,Transformer,16.87,11.44,-13.14,11686.52,,,,
Thai,SMA200,Overall,RandomForest,4.56,2.3,-19.08,10456.31,99.5,0.0,1.0,
Thai,,Uptrend,RandomForest,-6.07,-8.2,-12.36,9392.51,,,,
Thai,,Downtrend,RandomForest,11.44,11.44,-16.48,11143.74,,,,
Thai,SMA200,Overall,SVM,27.92,2.3,-17.76,12792.03,75.8,22.8,9.0,
Thai,,Uptrend,SVM,5.62,-8.2,-11.64,10562.21,,,,
Thai,,Downtrend,SVM,23.19,11.44,-16.48,12318.99,,,,
Thai,SMA200,Overall,XGBoost,10.25,2.3,-15.7,11024.81,99.2,0.3,3.0,
Thai,,Uptrend,XGBoost,-6.07,-8.2,-12.36,9392.51,,,,
Thai,,Downtrend,XGBoost,17.97,11.44,-14.66,11796.76,,,,
Thai,GMM,Overall,LSTM,2.2,2.3,-19.08,10219.9,100.0,0.0,1.0,
Thai,,Uptrend,LSTM,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,LSTM,2.82,2.82,-18.67,10281.5,,,,
Thai,GMM,Overall,CNN,2.9,2.3,-19.08,10290.3,97.0,3.0,3.0,
Thai,,Uptrend,CNN,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,CNN,3.94,2.82,-18.67,10393.86,,,,
Thai,GMM,Overall,MLP,-8.99,2.3,-19.34,9101.41,87.0,13.0,17.0,
Thai,,Uptrend,MLP,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,MLP,-5.46,2.82,-18.61,9454.31,,,,
Thai,GMM,Overall,Transformer,16.85,2.3,-15.19,11684.61,78.8,21.2,6.0,
Thai,,Uptrend,Transformer,0.5,-0.5,0.0,10049.97,,,,
Thai,,Downtrend,Transformer,17.55,2.82,-14.82,11755.24,,,,
Thai,GMM,Overall,RandomForest,-4.09,2.3,-19.08,9591.1,91.3,8.7,9.0,
Thai,,Uptrend,RandomForest,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,RandomForest,-1.95,2.82,-18.67,9804.69,,,,
Thai,GMM,Overall,SVM,14.43,2.3,-17.76,11442.97,85.1,13.6,9.0,
Thai,,Uptrend,SVM,-0.5,-0.5,0.0,9950.03,,,,
